buyer_id,label,no_unique_umid_14d,no_unique_ip2_14d,id_new_ip3_4m,id_ip3_same_seller_14d,avg_price_per_order_14d,std_price_per_order_14d,avg_dscnt_rate_per_order_14d,std_dscnt_rate_per_order_14d,avg_shpfee_per_order_14d,std_shpfee_per_order_14d,id_susp_paymethod_14d,no_acct_umid_14d,max_cancel_rate_14d,max_avg_price_seller_14d,max_avg_dscnt_rate_seller_14d,max_avg_shpfee_seller_14d
10608942,0,2,4,1,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
10779984,0,2,1,0,0,34900.0,0.0,0.0,0.0,6900.0,0.0,0,1,0.11202735317779565,12092.021107862378,0.5768609158123034,2956.9723234669764
1124333,0,1,1,1,0,182.57142857142858,61.985844335293066,0.0,0.0,48.42857142857143,15.927129979621409,\N,1,\N,\N,\N,\N
11289976,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,1,\N,\N,\N,\N
11721883,0,2,5,0,0,45466.5,5233.5,0.0,0.0,6900.0,0.0,0,1,0.12882402469828796,41695.30326797385,0.7412961020572922,16773.2091503268
12019846,0,2,2,0,0,183620.0,0.0,0.0,0.0,6900.0,0.0,1,1,0.16220154691178118,96433.56948442815,0.6117814372768285,15421.992672075374
12627949,0,0,4,1,0,227310.0,0.0,0.0,0.0,29700.0,0.0,1,0,0.17593592512598993,67855.51734104047,0.8340166976868993,17388.682080924857
128606,0,1,1,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
13375496,0,1,2,1,0,28900.0,0.0,0.0,0.0,8000.0,0.0,0,1,0.15300736904999004,35826.448724362184,0.478672086610444,7414.48285253738
1367507,0,1,2,1,0,50500.0,8600.0,0.0,0.0,6900.0,0.0,1,1,0.16524180170983796,58233.495718438215,0.6553179904138053,17538.151229476
13752753,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,2,\N,\N,\N,\N
14166100,0,1,3,0,0,74100.0,0.0,0.0,0.0,6900.0,0.0,1,1,0.08967722289890377,76135.24761077324,0.8689643468720437,18703.33058210252
14465538,0,1,3,0,0,207000.0,0.0,0.0,0.0,12000.0,0.0,0,0,0.3621090259159964,65255.539748953976,0.449168884772421,11383.52789400279
14549588,0,1,1,0,0,\N,\N,\N,\N,\N,\N,\N,1,\N,\N,\N,\N
14576612,0,0,1,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
14979628,0,0,0,1,0,1641650.0,1306150.0,0.017841279321348706,0.011102280736538411,87150.0,6350.0,\N,0,\N,\N,\N,\N
15179762,0,0,3,0,0,14600.0,0.0,0.0,0.0,6900.0,0.0,0,1,0.07882644043831742,10707.70952722063,0.7163627755539724,4308.259312320917
15210014,0,1,2,0,0,91180.0,0.0,0.03,0.0,\N,\N,1,1,0.30038995709436217,100312.93236530379,0.16836949917579713,619.0294230034391
15609014,0,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
1562680,0,1,2,1,0,50315.0,0.0,0.0,0.0,14000.0,0.0,0,0,0.1418143249313701,30990.658014731674,0.5668758328591145,12234.817490938853
15787968,0,0,2,0,0,23261.5,5846.5126571316,0.0,0.0,7425.0,909.3266739736606,0,0,0.1436495120410026,17406.774193548386,0.8104230621020473,10221.22541328103
1683938,0,1,4,0,0,159835.0,0.0,0.0,0.0,14500.0,0.0,0,0,0.1422513492675405,151973.89296875,0.47621148700339144,26274.09765625
17062441,0,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
1714670,0,1,3,0,0,3536000.0,88000.0,0.0,0.0,25000.0,0.0,0,1,0.7527062999112688,3678635.0410684473,0.1338022578286173,17738.955759599332
17562655,0,1,1,0,0,\N,\N,\N,\N,\N,\N,\N,1,\N,\N,\N,\N
17675567,0,1,3,1,1,55150.0,0.0,0.0,0.0,13800.0,0.0,0,1,0.18908748824082786,13867.164517792677,0.7219413347280188,10395.095267745952
19052469,0,1,1,0,0,\N,\N,\N,\N,\N,\N,\N,1,\N,\N,\N,\N
