buyer_id,id_new_ip2_3m,id_new_ip3_3m,no_unique_umid_14d,no_unique_ip2_14d,no_login_14d,id_ip_same_seller_14d,id_ip3ua_same_seller_14d,avg_price_per_order_usd_14d,std_price_per_order_usd_14d,avg_dscnt_rate_per_order_14d,std_dscnt_rate_per_order_14d,avg_shpfee_per_order_usd_14d,std_shpfee_per_order_usd_14d,id_susp_paymethod_14d,no_acct_umid_3m,max_cancel_rate_14d,max_avg_price_seller_usd_14d,max_avg_dscnt_rate_seller_14d,max_avg_shpfee_seller_usd_14d
1001384,0,0,1,2,2,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
10014233,0,0,1,2,4,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
10022157,0,0,1,1,17,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
10027491,0,0,1,2,14,0,0,8.685397522768566,5.823417888926912,0.5268744713298923,0.2377360686378749,1.1004197477391007,0.678873414824994,1,0,0.4068224050968941,13.166274308065118,0.700851634579268,1.0925208308001535
10045191,0,1,1,1,3,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
10053255,1,1,3,4,11,0,0,0.7657560100246318,0.5955880077969359,0.0,0.0,0.0,0.0,0,0,0.9720245110464374,7.146409798392699,0.1568116241342468,0.042932360663403765
1008235,0,0,1,2,15,0,0,5.275208069058575,0.5009610342585848,0.05555555555555558,0.07856742013183865,0.40840320534647034,0.40076882740686803,0,2,0.2697029702970297,20.79294434589216,0.277546389311819,2.342131244899715
10106746,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,1,\N,\N,\N,\N
10114507,0,0,1,1,1,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
10117545,1,1,1,2,4,0,0,\N,\N,\N,\N,\N,\N,\N,1,\N,\N,\N,\N
10131427,0,0,1,1,3,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
10155132,0,0,1,1,1,0,0,72.83190495345387,0.0,0.1647150663544106,0.0,0.4696636861484409,0.0,0,22,0.7238145323867122,250.91820481700026,0.09248876358381942,1.2648914712393198
10166588,0,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
10206113,0,1,2,3,9,0,0,3.232171034312857,1.1921970236072377,0.4176913043478261,0.01709130434782613,2.824788836979753,0.0,0,0,0.13822393822393822,3.3006137224937726,0.4308442515946954,0.9455512588451138
10212789,1,1,1,1,1,0,0,8.712601714058033,0.0,0.0,0.0,1.735713622722499,0.0,1,0,0.10189228529839883,3.180595097672948,0.015050211042704938,0.8246438089737759
1022328,0,0,0,1,1,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
10234246,0,0,1,6,24,0,0,38.62303146562016,24.066860555063045,0.466850106685633,0.12189989331436701,2.5184864329699,0.03403360044553916,1,0,0.14830430797433547,16.104055119838094,0.43305842072082956,0.7129403559246846
