buyer_id,label,id_new_ip2_3m,id_new_ip3_3m,no_unique_umid_14d,no_unique_ip2_14d,no_login_14d,id_ip_same_seller_14d,id_ip3ua_same_seller_14d,avg_price_per_order_usd_14d,std_price_per_order_usd_14d,avg_dscnt_rate_per_order_14d,std_dscnt_rate_per_order_14d,avg_shpfee_per_order_usd_14d,std_shpfee_per_order_usd_14d,id_susp_paymethod_14d,no_acct_umid_3m,max_cancel_rate_14d,max_avg_price_seller_usd_14d,max_avg_dscnt_rate_seller_14d,max_avg_shpfee_seller_usd_14d
10002273,0,0,0,1,2,5,0,0,1.8115471677529107,0.2793429150643916,0.4028307692307692,0.13563076923076922,0.2787853443756403,0.2787853443756403,0,0,0.10319410319410319,1.5692070047296447,0.5189928381949154,0.4519286053021531
10070660,0,0,0,1,2,3,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
10094200,0,1,1,0,2,6,0,0,1.3976404676682745,0.0,0.6907692307692308,0.0,0.5562748130022983,0.0,0,0,0.11219924018573238,2.161754172982605,0.6354754213605243,0.572470869767685
10386988,0,0,0,0,1,3,0,0,2.086030548758619,0.0,0.6296296296296295,0.0,0.4797870262144823,0.0,0,0,0.2486090775988287,0.7928086720501684,0.5744703775911275,0.28494363892341656
10429703,0,0,0,1,4,9,0,0,4.11236261488507,0.0,0.4636,0.0,0.6621151928921457,0.0,0,0,0.09612903225806452,2.8420491859881496,0.6536907127677308,0.8141063839340731
1047878,0,0,0,1,1,5,0,0,1.351760438541386,0.6624636745726153,0.3813333333333333,0.04066666666666659,0.5924188567982356,0.0,0,0,0.12514489590076325,2.1133559064859484,0.6108032176323128,0.8074667598940313
105222,0,0,0,1,4,13,0,0,9.700042051727577,0.0,0.36877828054298645,0.0,1.182083977629884,0.0,0,0,0.05844942459115687,4.123437588326822,0.33509702507335726,0.3191394567114027
105222,0,0,0,1,4,16,0,0,9.700042051727577,0.0,0.36877828054298645,0.0,1.182083977629884,0.0,0,0,0.05846526574356041,4.123437588326821,0.3350970250733572,0.3191394567114027
10568824,0,0,0,1,2,3,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
10652249,0,0,0,0,7,15,0,0,2.7812671399955287,0.12019133159394768,0.6563126972477065,0.03823930275229348,0.3310575964460728,0.3310575964460728,0,0,0.14558378307226535,5.458941893163371,0.47590757254287075,0.9488015567243844
10652249,0,0,0,0,6,16,0,0,2.9233400329131194,1.8014367785355123,0.5413119658119657,0.26065988909195514,0.42300063905383106,0.10700285189211606,0,0,0.18912688502545386,4.427058624355716,0.7295320441235081,1.5335031885128982
10656705,0,0,0,2,2,3,0,0,0.26484607715685826,0.0,0.8914285714285715,0.0,0.4809047190479795,0.0,0,0,0.11874909929384637,0.46960794266144984,0.8551499961673684,0.5109064701926501
10834209,0,0,0,0,2,7,0,0,2.4970545135303075,0.9048583083332465,0.5064304117782379,0.3680345999271658,0.4729096837152549,0.0,0,0,0.19773941888322377,2.8691600662969927,0.8028708996865527,1.2623000406157103
10853913,0,0,1,1,3,3,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
10904434,0,0,0,1,1,8,0,0,6.627555066728013,4.537225727071266,0.4591459595959596,0.263590404040404,0.0,0.0,0,0,0.10623137712138878,4.307158140997093,0.5344013200209173,0.4527979273263675
10916348,0,0,0,1,1,3,0,0,2.004095904426822,0.18946554914032343,0.6829625348689481,0.10555204798689699,0.6258091646275856,0.0,0,0,0.17256362507759157,3.5853177851493254,0.7529027541990887,0.5642841432326906
10942922,0,0,0,1,2,6,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
10944785,0,0,0,2,5,16,0,0,7.333831813649735,6.709979909273145,0.21064055520102098,0.2181405552010211,0.17424084023477518,0.17424084023477518,0,0,0.13042065191398053,22.90884990924233,0.5351170068608173,0.535402917406543
1113514,0,0,0,2,2,11,0,0,29.608258458694223,0.0,0.3665689149560117,0.0,1.3707527064210288,0.0,1,0,0.15187376725838264,7.423483902905796,0.3564699154084498,1.2820708068347348
1122292,0,1,1,1,1,1,0,0,6.551455592827547,0.0,0.4777777777777778,0.0,0.4809047190479795,0.0,1,0,0.12850956837547142,5.0342337249570415,0.525879007543847,0.9367746716097366
1124358,0,0,0,1,2,7,0,0,162.0439814183409,0.0,0.27343750000000006,0.0,0.20908900828173022,0.0,0,0,0.6091028590207033,129.75843700084496,0.16178166855970627,1.0858157687405119
