buyer_id,label,no_unique_umid_14d,no_unique_ip2_14d,no_unique_ipisp_14d,id_new_umid_14d,id_new_ip2_14d,id_new_ipisp_14d,id_umid_same_seller_14d,id_ip2_same_seller_14d,avg_price_per_order_14d,std_price_per_order_14d,avg_discount_per_order_14d,std_discount_per_order_14d,avg_shpfee_per_order_14d,std_shpfee_per_order_14d,no_acct_umid_14d
10086597,0,1,5,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
10103494,0,1,2,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
10129841,0,1,2,2,0,0,0,0,0,97088.66666666667,56758.67384716533,969.6666666666666,1371.315750981111,10833.333333333334,2592.7248643506746,1
10135616,0,1,2,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
1015908,0,1,7,2,0,0,0,0,0,41100.0,0.0,27800.0,0.0,8000.0,0.0,1
1018108,0,4,5,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
10193523,0,1,2,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
10211951,0,1,3,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
10243210,0,1,1,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
102859,0,3,4,2,0,1,0,0,0,190000.0,0.0,0.0,0.0,1500.0,0.0,1
10294924,0,3,2,2,0,0,0,0,0,32120.0,9730.0,52880.0,40270.0,6900.0,0.0,1
10299856,0,1,3,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
10310413,0,1,4,2,0,1,0,0,0,20495.0,995.0,17005.0,8495.0,14500.0,500.0,1
1032536,0,1,3,3,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
10340583,0,1,3,1,0,1,0,0,0,\N,\N,\N,\N,\N,\N,1
10346708,0,1,5,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
10353927,0,1,2,2,0,1,0,0,0,\N,\N,\N,\N,\N,\N,1
10377328,0,2,2,2,0,0,0,0,1,64213.333333333336,29699.029538952203,66320.0,55819.251159434236,4514.666666666667,3151.522947542805,1
10387883,0,1,1,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
10398557,0,1,7,3,0,1,0,0,0,\N,\N,\N,\N,\N,\N,1
10415308,0,1,4,3,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
1043157,0,2,1,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
10485526,0,1,3,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
10545994,0,1,6,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
10567555,0,1,7,4,0,1,0,0,0,\N,\N,\N,\N,\N,\N,1
10686308,0,1,2,1,0,1,0,0,0,\N,\N,\N,\N,\N,\N,1
10689312,0,2,3,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
10706077,0,1,4,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
10745722,0,2,6,3,0,0,0,0,0,333416.0,141019.20799664137,388636.8,298818.58412247384,4250.0,3981.2058474788764,1
10785498,0,1,4,3,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
10815516,0,1,3,2,0,1,0,0,0,\N,\N,\N,\N,\N,\N,1
10817214,0,1,1,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
10890577,0,1,3,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
1093016,0,1,3,3,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
11012817,0,1,5,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
11099108,0,1,2,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
11159582,0,1,1,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
11189887,0,2,6,3,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
11195042,0,1,4,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
11286636,0,1,6,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
11370820,0,1,3,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
11385754,0,1,5,3,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
11413382,0,2,4,3,0,0,0,0,0,86015.66666666667,69464.30664417199,112317.66666666667,77525.71550280735,7333.333333333333,5734.8835113617515,1
11589196,0,1,1,1,0,1,1,0,0,\N,\N,\N,\N,\N,\N,1
11641619,0,1,4,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
11660291,0,2,3,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
11668180,0,2,2,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
11711627,0,1,4,1,0,1,1,0,0,45800.0,0.0,60450.0,0.0,6873.0,0.0,1
11714552,0,2,5,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
11716173,0,2,2,1,0,0,0,0,0,37250.0,0.0,7750.0,0.0,10000.0,0.0,1
11762872,0,2,3,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
11769033,0,1,1,1,0,0,0,0,1,61965.0,44035.66499630347,57435.0,53853.08525671177,1083.3333333333333,2422.4069756247723,1
11778636,0,1,2,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
11795451,0,1,3,3,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
1200169,0,1,4,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
12032809,0,1,3,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
12035778,0,2,3,2,0,0,0,0,0,42490.0,0.0,17510.0,0.0,5000.0,0.0,1
12060720,0,1,4,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
12077956,0,1,4,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
12078606,0,2,4,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
12089253,0,1,4,3,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
12109620,0,1,3,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
12142124,0,1,2,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
12147262,0,2,1,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
12163225,0,1,1,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
12183795,0,2,5,4,0,1,0,0,0,\N,\N,\N,\N,\N,\N,1
1220227,0,1,2,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
12259103,0,1,4,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
