ato_create_date,order_create_date,order_number,order_buyer_id,freq_umid,abnormal_umid,earliest_abnormal_login,ip,useragent,acsdata_entrance,app_version,ipparse_ipisp,ipparse_ipcntryname,ipparse_ipprovname,logindata_logintype
2022-04-23 14:18:21,2022-04-20 17:07:11,846776873600392,392,WV13z5e98d66a3effec03000a3d016e87,WV60179e26057ef90202103cb5a93cd45,2022-04-20 21:29:45,114.79.37.211,MTOPSDK%2F3.1.1.7+%28Android%3B9%3BXiaomi%3BRedmi+6%29,native,6.96.0,smartfren.com,印度尼西亚,南苏拉威西省,sms
2022-03-11 15:43:05,2022-03-05 19:30:42,807573464324686,24686,WV13z5c45d3775c3e5f2400091a6da829,WV12z5fa0bc053af831c70004fc00a465,2022-03-11 16:31:58,114.5.222.24,MTOPSDK%2F3.1.1.7+%28Android%3B10%3Brealme%3BRMX2103%29,native,6.91.1,indosatooredoo.com,印度尼西亚,东爪哇省,sms
2022-05-06 09:45:18,2022-05-05 14:49:46,865272119629262,29262,WV1fz5cdb96fb73ee22480008e0160c56,WV15z617a25560978bc2f0005f101fdb9,2022-05-05 16:04:57,114.125.168.5,MTOPSDK%2F3.1.1.7+%28Android%3B11%3BOPPO%3BCPH2269%29,native,6.88.1,telkomsel.com,印度尼西亚,中苏拉威西省,sms
2022-04-27 21:39:14,2022-04-27 22:24:06,861705982430252,30252,WV1dz601aa50535afd8300005c4011b23,wV10s626a17b64d65a72a0006c0ae2406,2022-04-28 12:27:52,36.68.155.205,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",pc,\N,telkom.co.id,印度尼西亚,北苏门答腊省,3rd
2022-04-11 08:46:48,2022-04-11 06:57:55,843906166543961,43961,WV11z5e3b4d0c03522759008ac00814bf,WV14z6117ad2813bb84600006be0087a7,2022-04-11 09:16:27,114.125.180.98,MTOPSDK%2F3.1.1.7+%28Android%3B12%3Bvivo%3BV2050%29,native,6.96.0,telkomsel.com,印度尼西亚,中苏拉威西省,sms
2022-03-17 14:04:09,2022-03-17 02:34:05,815622228177990,77990,WV1fz5e500a116bcf7c56000a090171d0,WV14z61c03a057703444000103f00b475,2022-03-17 14:37:44,120.188.82.4,MTOPSDK%2F3.1.1.7+%28Android%3B9%3Bvivo%3Bvivo+1902%29,native,6.95.2,indosatooredoo.com,印度尼西亚,东加里曼丹省,sms
2022-03-13 18:07:48,2022-03-13 18:01:08,813175865202180,102180,WV1ez5ee583cf7e458ba300070a014d10,wV16s622dc319693fe8a80009381c1463,2022-03-13 18:10:37,36.85.36.116,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36",pc,\N,telkom.co.id,印度尼西亚,东爪哇省,pass
2022-05-26 15:01:42,2022-05-20 07:46:18,874971925225513,125513,WV19z5fd54ab6083d485f000531018f9a,WV17z61397a9733a3872800060e011c97,2022-05-20 15:42:50,140.213.126.203,MTOPSDK%2F3.1.1.7+%28Android%3B10%3BXiaomi%3BM2006C3MG%29,native,6.88.1,xl.co.id,印度尼西亚,巴厘省,sms
2022-05-10 15:41:16,2022-05-02 14:47:56,856374280165189,165189,WV61000a3605ff9bf202107715fbe4741,WV12z61ad87fe32f1857400064301778d,2022-05-04 22:39:39,114.79.37.74,MTOPSDK%2F3.1.1.7+%28Android%3B11%3BOPPO%3BCPH2059%29,native,6.98.0,smartfren.com,印度尼西亚,南苏拉威西省,sms
2022-03-23 12:50:16,2022-03-21 11:20:41,818548039958887,258887,WV1bz61e8a62b742f2983000742017020,WV11z615530a70ff966950005f30115e0,2022-03-21 13:15:58,182.1.222.24,MTOPSDK%2F3.1.1.7+%28Android%3B10%3BOPPO%3BCPH2239%29,native,6.96.0,telkomsel.com,印度尼西亚,中苏拉威西省,sms
2022-02-26 18:45:52,2022-02-26 18:18:52,802070298491244,391244,WV14z5e5f6013133913a3000a43058571,wV19s623d0f69693fe8a80008d03e4395,2022-03-25 08:50:20,158.140.182.233,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36",pc,\N,myrepublic.net,印度尼西亚,万丹省,pass
2022-04-04 13:28:27,2022-04-04 04:20:34,837286347498102,498102,WV12z625b8e8c0b5ff5ed0005eb029f2e,WV1dz6156007002a025a50005f900a10c,2022-04-04 04:06:03,110.136.248.163,MTOPSDK%2F3.1.1.7+%28Android%3B11%3BOPPO%3BCPH2035%29,native,6.96.0,telkom.co.id,印度尼西亚,东南苏拉威西省,3rd
2022-05-08 23:50:55,2022-05-01 22:16:30,856222668382670,782670,WV15z5ea1b8027431a259000a7000f7d7,WV12z61ad87fe32f1857400064301778d,2022-05-04 20:04:30,114.79.38.86,MTOPSDK%2F3.1.1.7+%28Android%3B11%3BOPPO%3BCPH2059%29,native,6.98.0,smartfren.com,印度尼西亚,南苏拉威西省,sms
2022-03-11 09:08:48,2022-03-10 02:09:43,817404506442329,842329,WV12z605e6eec47562c5400059c0116e8,WV1az61ffe558098ee88b0006500179a4,2022-03-11 08:29:57,120.188.85.14,MTOPSDK%2F3.1.1.7+%28Android%3B11%3BOPPO%3BCPH2159%29,native,6.95.2,indosatooredoo.com,印度尼西亚,,sms
2022-04-26 21:52:15,2022-04-27 09:13:57,861271793516085,1016085,WV1fz60e0f2c51801d6cc000679008034,WV17z624321bc0bea8a180005f400a45a,2022-04-26 22:46:52,116.206.35.18,MTOPSDK%2F3.1.1.7+%28Android%3B11%3Bvivo%3BV2043%29,native,6.98.0,tri.co.id,印度尼西亚,南苏门答腊省,pass
2022-03-09 05:41:41,2022-03-08 10:53:42,809360897031425,1531425,WV1bz5f1d746e52ec19b3000760012c30,WV1az61c5629c7618e97000060600d937,2022-03-08 14:26:21,182.1.200.11,MTOPSDK%2F3.1.1.7+%28Android%3B10%3BXiaomi%3BM2006C3LG%29,native,6.93.0,telkomsel.com,印度尼西亚,中苏拉威西省,sms
2022-05-19 14:45:53,2022-05-17 09:16:40,873015318263809,1563809,WV15z6098c315311ca1990005f001709d,WV19z5e85a4c55ef605120009e401b44e,2022-05-19 14:55:10,182.1.186.174,MTOPSDK%2F3.1.1.7+%28Android%3B11%3BOPPO%3BCPH2043%29,native,7.0.0,telkomsel.com,印度尼西亚,中苏拉威西省,sms
2022-03-27 14:48:03,2022-03-26 10:28:51,828886167150720,1650720,WV1bz604b8b4e4dc222070005aa00594e,WV14z6117ad2813bb84600006be0087a7,2022-03-27 14:56:24,114.125.188.200,MTOPSDK%2F3.1.1.7+%28Android%3B12%3Bvivo%3BV2050%29,native,6.96.0,telkomsel.com,印度尼西亚,中苏拉威西省,sms
2022-04-11 20:27:45,2022-04-11 19:19:04,837476482294100,1794100,WV1cz5f6df4091199e1d30004ab009deb,WV19z5e85a4c55ef605120009e401b44e,2022-04-11 20:20:16,114.125.187.127,MTOPSDK%2F3.1.1.7+%28Android%3B11%3BOPPO%3BCPH2043%29,native,6.96.0,telkomsel.com,印度尼西亚,中苏拉威西省,sms
2022-03-01 17:26:49,2022-03-01 12:34:35,803959249095072,1995072,WV18z61bd6d8f21523e5300108b0189b5,WV60179035f72df76202104633921ef91,2022-03-01 16:50:57,182.1.208.179,MTOPSDK%2F3.1.1.7+%28Android%3B9%3BXiaomi%3BRedmi+8%29,native,6.93.0,telkomsel.com,印度尼西亚,中苏拉威西省,sms
2022-03-17 21:52:51,2022-03-16 23:34:43,815559834065180,2465180,WV12z5f1f78017cb3cb630006f6018711,WV13z5db2c73c183a402300099a035a3c,2022-03-17 20:22:49,120.188.77.204,MTOPSDK%2F3.1.1.7+%28Android%3B8.1.0%3Bvivo%3Bvivo+1816%29,native,6.95.2,indosatooredoo.com,印度尼西亚,北苏拉威西省,sms
2022-05-07 09:08:23,2022-05-06 21:10:00,866161595703565,2603565,WV1ez5b060b780c4cef3b000815124791,WV16z6275b9a63a3b414200060301b50a,2022-05-07 08:18:52,182.1.218.235,MTOPSDK%2F3.1.1.7+%28Android%3B10%3BXiaomi%3BM2006C3LG%29,native,6.99.1,telkomsel.com,印度尼西亚,中苏拉威西省,sms
2022-02-27 18:46:10,2022-02-27 11:09:15,802467635732257,2732257,WV6005da05f38b680100b50f8878101ed,WV17z5d0c283d543090900008620aa53b,2022-02-27 19:25:29,140.0.127.24,MTOPSDK%2F3.1.1.7+%28Android%3B10%3BXiaomi%3BMI+8%29,native,6.94.3,linknet.co.id,印度尼西亚,,pass
2022-04-05 09:13:41,2022-04-04 17:38:46,837975941418345,2818345,WV19z5b8d150a204682d90008295643d6,WV1dz58cb9cda160ebc370008f2daa330,2022-04-04 22:02:38,140.213.227.56,MTOPSDK%2F3.1.1.7+%28Android%3B5.1.1%3BOPPO%3BA37f%29,native,6.96.0,xl.co.id,印度尼西亚,南苏拉威西省,sms
