user_id,distinct_umid_cnt_14d,distinct_login_cnt_14d,distinct_ipisp_cnt_14d
102859,3,14,2
13741157,3,21,1
16374855,4,15,1
1740284,5,26,1
1753702,3,11,3
17727512,0,5,1
17757866,3,24,3
202050,3,8,3
2336866,3,23,3
26964927,3,21,2
27045693,7,7,2
27047448,3,3,1
27645662,4,29,1
3322864,3,22,3
400001478483,0,6,1
400008228556,0,4,1
400013080274,3,30,3
400018786393,3,13,2
400028808201,4,27,3
400033992270,3,12,3
400038765617,3,16,4
400051920476,4,39,2
400059306397,3,20,4
400070601912,0,65,1
400079913730,4,23,5
400088430202,3,21,2
400090791843,3,21,3
400098936484,0,7,1
400106376642,0,21,1
400108068842,3,17,2
400113786166,0,17,1
400115856046,0,10,2
400124841835,3,9,1
400137402321,3,18,3
400172958853,3,22,4
400182426048,3,34,1
400182534241,0,15,2
400184373496,3,17,3
400186740141,3,18,2
400194798239,3,27,2
400197876832,3,9,1
400199457330,4,7,2
400216680285,3,20,3
400217163449,3,15,2
400230750320,3,21,2
400245279712,3,24,3
400247805398,3,17,3
400256694320,3,25,3
400271529140,4,31,4
400309107257,3,17,2
400309197681,0,15,2
400318152120,3,15,1
400325280906,3,17,1
400335990168,3,14,1
400340082213,3,17,2
400345908185,3,22,2
400363785550,3,21,3
400382427588,0,21,1
400630209996,0,9,1
400639692560,0,48,1
410412336989,4,17,3
410416608492,0,81,1
410417658666,0,24,2
410423016258,3,19,1
410424852614,3,23,2
410425296297,3,10,1
410426556097,4,21,1
410430837203,0,3,2
410439657889,6,13,2
410441409411,0,18,1
410450556041,3,10,1
410451417904,3,20,1
410454183202,5,44,4
410454903662,3,33,2
410456130967,0,13,1
410474799887,7,19,5
5211100,3,13,1
529601,4,14,2
5709885,3,19,1
651743,3,10,2
1347557,3,12,4
25320747,3,22,2
26294041,4,16,3
2737543,3,10,3
30557140,3,18,1
3074485,3,19,3
32088010,3,19,2
400001190933,4,36,3
400004476395,3,16,3
400005430933,3,22,3
400007258106,4,18,1
400009824235,3,20,3
400016022174,3,8,1
400018556261,3,17,2
400019052190,0,10,2
400019296744,3,16,2
400023920105,0,32,1
400024626913,3,16,2
400032560987,3,14,4
400039626106,3,41,4
400040628625,0,2,1
400044543382,4,22,1
400052427452,0,2,1
400054908347,0,5,2
400072629774,3,25,2
400082796175,0,21,1
400083744084,4,19,1
400085298406,3,20,2
400088544428,3,20,1
400088790042,3,12,2
400089702596,3,13,1
400103313483,3,18,1
400104363805,3,15,1
400127727054,3,19,2
400127916211,3,32,1
400137006290,0,17,1
400139592478,3,25,1
400140717319,0,2,1
400140870365,3,12,1
400153935624,3,43,3
400164123461,3,17,2
400166097399,3,21,2
400169622258,3,18,3
400181412535,3,15,1
400182486370,4,22,4
400195104503,0,38,1
400212117600,6,22,3
400217220489,3,25,2
400240230557,0,19,4
400244280921,3,25,1
400251207308,3,27,2
400257387816,3,19,3
400278537344,8,23,2
400283445017,0,49,3
400290042447,4,20,2
400293411996,3,13,2
400296960160,0,5,2
400305081855,3,29,3
400313175062,5,70,2
400326252105,3,16,1
400328316184,3,25,2
400347498111,0,4,1
400353837095,7,8,1
400355205888,3,39,2
400355244602,0,21,2
400363425711,6,14,1
