buyer_id,label,no_unique_umid_14d,no_unique_ip2_14d,no_unique_ipisp_14d,id_new_umid_14d,id_new_ip2_14d,id_new_ipisp_14d,id_is_auto,id_umid_same_seller_14d,id_ip2_same_seller_14d,avg_price_per_order_14d,std_price_per_order_14d,avg_dscnt_rate_per_order_14d,std_dscnt_rate_per_order_14d,avg_shpfee_per_order_14d,std_shpfee_per_order_14d,id_susp_paymethod_14d,no_acct_umid_14d,max_cancel_rate_14d,max_avg_price_seller_14d,max_avg_dscnt_rate_seller_14d,max_avg_shpfee_seller_14d,id_susp_device
10103494,0,1,2,1,0,0,0,1,0,0,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,0
10129841,0,1,2,2,0,0,0,1,0,0,97088.66666666667,56758.67384716533,0.012170275075828888,0.01721136807004846,10833.333333333334,2592.7248643506746,0,1,0.12294821560944615,119447.34551886792,0.1212258159867854,19472.91037735849,0
10135616,0,1,2,1,0,0,0,1,0,0,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,0
10193523,0,1,2,2,0,0,0,1,0,0,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,0
102859,0,3,4,2,0,1,0,1,0,0,190000.0,0.0,0.0,0.0,1500.0,0.0,0,1,0.2865024047735398,71373.83222473579,0.08365071398793848,11939.984569672823,0
10299856,0,1,3,2,0,0,0,1,0,0,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,0
10387883,0,1,1,1,0,0,0,1,0,0,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,0
10398557,0,1,7,3,0,1,0,1,0,0,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,0
10415308,0,1,4,3,0,0,0,1,0,0,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,0
1043157,0,2,1,1,0,0,0,1,0,0,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,0
10485526,0,1,3,1,0,0,0,1,0,0,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,0
10545994,0,1,6,2,0,0,0,1,0,0,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,0
10567555,0,1,7,4,0,1,0,1,0,0,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,0
10689312,0,2,3,1,0,0,0,1,0,0,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,0
10706077,0,1,4,1,0,0,0,1,0,0,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,0
10785498,0,1,4,3,0,0,0,1,0,0,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,0
10890577,0,1,3,1,0,0,0,1,0,0,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,0
1093016,0,1,3,3,0,0,0,1,0,0,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,0
11012817,0,1,5,2,0,0,0,1,0,0,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,0
11099108,0,1,2,2,0,0,0,1,0,0,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,0
11286636,0,1,6,2,0,0,0,1,0,0,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,0
11370820,0,1,3,1,0,0,0,1,0,0,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,0
11660291,0,2,3,1,0,0,0,1,0,0,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,0
11668180,0,2,2,2,0,0,0,1,0,0,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,0
11716173,0,2,2,1,0,0,0,1,0,0,37250.0,0.0,0.17222222222222222,0.0,10000.0,0.0,0,1,0.09749727965179543,22260.50680412371,0.24745805677187183,8093.616494845361,0
11769033,0,1,1,1,0,0,0,1,0,1,61965.0,44035.66499630347,0.4547964963295905,0.2565716580773108,1083.3333333333333,2422.4069756247723,1,1,0.18505963590709354,175723.8595890411,0.6954846922257366,17705.763698630137,0
12183795,0,2,5,4,0,1,0,1,0,0,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,0
12259103,0,1,4,2,0,0,0,1,0,0,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,0
12383397,0,2,6,3,0,0,0,1,0,0,9330.0,3175.604929248389,0.760604377104377,0.03617656715861887,9500.0,0.0,0,1,0.14185620351406705,14775.84110803324,0.8454528545156323,10006.197196261683,0
12495723,0,1,1,1,1,0,0,0,0,0,18821.333333333332,10816.71550066018,0.38322323273947617,0.22471069044389388,6216.666666666667,2168.588890909888,1,0,0.22797927461139897,102486.47150025087,0.7412426435505186,12186.973516838703,0
12630968,0,1,1,1,0,0,0,1,0,0,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,0
12659779,0,1,4,3,0,0,0,1,0,0,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,0
127397,0,1,3,2,0,0,0,1,0,0,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,0
12773856,0,2,3,3,0,0,0,1,0,0,15000.0,0.0,0.5714285714285714,0.0,8000.0,0.0,0,1,0.08489208633093526,27870.82506527415,0.48744553620725195,13305.373368146214,0
12914709,0,1,4,2,0,0,0,1,0,0,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,0
12922545,0,3,3,2,0,0,0,1,0,0,149300.0,56538.30559894769,0.21788888888888888,0.30814142175707104,2083.3333333333335,2946.278254943948,0,1,0.1469821049438884,185270.8602739726,0.5657508557416364,9526.880419331912,0
12935460,0,1,3,2,0,0,0,1,0,0,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,0
12974109,0,1,2,2,0,0,0,1,0,0,63925.875,26706.429359039652,0.2303977890633151,0.240726018277906,1250.0,3307.189138830738,0,1,0.20744611365120835,93918.5204379562,0.6613154804646425,19545.59813084112,0
13078571,0,2,6,3,1,0,0,0,0,0,105760.0,108576.93309354431,0.39190540323873657,0.30153449020170475,10400.0,3184.3366656181315,0,0,0.29983384391712964,156473.97858672377,0.7079556257497409,15463.480881003365,0
1347557,0,3,5,4,0,0,0,0,0,0,324430.0,43430.0,0.1896674562114318,0.11097893162126786,6900.0,0.0,1,1,0.41563055062166965,222046.4909090909,0.3968971770110231,9115.596622889307,0
1350680,0,1,1,1,0,0,0,1,0,0,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,0
13588523,0,0,3,2,1,1,0,0,0,0,30350.0,0.0,0.5953333333333334,0.0,8000.0,0.0,0,0,0.14909090909090908,45630.54780361757,0.5482035038996111,10083.78488372093,0
13761648,0,3,2,2,1,0,0,0,0,0,183170.0,0.0,0.51024064171123,0.0,900.0,0.0,0,1,0.1219755550012472,42507.11894059045,0.5085710120130703,14288.000546713643,0
13913684,0,1,1,1,0,0,0,1,0,0,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,0
1398248,0,1,3,2,0,0,0,1,0,0,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,0
14001161,0,2,2,2,0,0,0,1,0,0,49500.0,0.0,0.175,0.0,3834.0,0.0,0,1,0.16666666666666666,14795.2,0.21524000000000001,6110.933333333333,0
14054063,0,2,6,3,0,0,0,1,0,0,64211.857142857145,51482.783497921686,0.37699381029274154,0.12439885385764729,4303.571428571428,4506.987205824906,0,1,0.18962182029209787,70741.07565517242,0.6160454494926975,10746.660581126254,0
1409594,0,1,3,2,0,0,0,1,0,0,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,0
14102343,0,1,1,1,0,0,0,1,0,0,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,0
